Timestamp,Enc_X_Transformed,Enc_Y_Transformed,UWB_X,UWB_Y,Delta_Error
1766145641,1.45,2.0,1.41,1.99,0.041231056256176644
1766145641,1.45,2.0,1.4,2.0,0.050000000000000044
1766145641,1.45,2.0,1.4,2.0,0.050000000000000044
1766145641,1.45,2.0,1.4,2.0,0.050000000000000044
1766145641,1.45,2.0,1.41,2.0,0.040000000000000036
1766145641,1.45,2.0,1.4,2.01,0.050990195135927854
1766145641,1.45,2.0,1.41,2.01,0.04123105625617659
1766145642,1.45,2.0,1.41,2.01,0.04123105625617659
1766145642,1.45,2.0,1.42,2.0,0.030000000000000027
1766145642,1.45,2.0,1.4,2.0,0.050000000000000044
1766145642,1.45,2.0,1.4,1.99,0.050990195135927896
1766145642,1.45,2.0,1.41,1.99,0.041231056256176644
1766145642,1.45,2.0,1.39,1.98,0.06324555320336764
1766145642,1.45,2.0,1.41,1.97,0.050000000000000044
1766145642,1.45,2.0,1.41,1.97,0.050000000000000044
1766145642,1.45,2.0,1.39,1.97,0.06708203932499375
1766145642,1.45,2.0,1.39,1.98,0.06324555320336764
1766145643,1.45,2.0,1.39,1.98,0.06324555320336764
1766145643,1.45,2.0,1.39,1.98,0.06324555320336764
1766145643,1.45,2.0,1.4,1.99,0.050990195135927896
1766145643,1.45,2.0,1.41,2.0,0.040000000000000036
1766145643,1.45,2.0,1.4,2.0,0.050000000000000044
1766145643,1.45,2.0,1.4,2.01,0.050990195135927854
1766145643,1.45,2.0,1.4,2.01,0.050990195135927854
1766145643,1.45,2.0,1.39,2.02,0.06324555320336764
1766145643,1.45,2.0,1.39,2.01,0.06082762530298222
1766145643,1.45,2.0,1.39,2.0,0.06000000000000005
1766145644,1.45,2.0,1.39,1.99,0.060827625302982254
1766145644,1.45,2.0,1.4,1.99,0.050990195135927896
1766145644,1.45,2.0,1.4,2.0,0.050000000000000044
1766145644,1.45,2.0,1.4,2.01,0.050990195135927854
1766145644,1.45,2.0,1.4,2.0,0.050000000000000044
1766145644,1.45,2.0,1.4,1.99,0.050990195135927896
1766145644,1.45,2.0,1.4,2.0,0.050000000000000044
1766145644,1.45,2.0,1.41,2.0,0.040000000000000036
1766145644,1.45,2.0,1.41,2.0,0.040000000000000036
1766145644,1.45,2.0,1.41,2.0,0.040000000000000036
1766145645,1.45,2.0,1.4,2.0,0.050000000000000044
1766145645,1.45,2.0,1.4,2.0,0.050000000000000044
1766145645,1.45,2.0,1.4,2.0,0.050000000000000044
1766145645,1.45,2.0,1.39,1.99,0.060827625302982254
1766145645,1.45,2.0,1.38,1.99,0.07071067811865482
1766145645,1.45,2.0,1.38,1.99,0.07071067811865482
1766145645,1.45,2.0,1.37,1.99,0.08062257748298535
1766145645,1.45,2.0,1.37,1.98,0.08246211251235307
1766145645,1.45,2.0,1.38,2.0,0.07000000000000006
1766145645,1.45,2.0,1.37,1.99,0.08062257748298535
1766145646,1.45,2.0,1.38,1.99,0.07071067811865482
1766145646,1.45,2.0,1.38,1.99,0.07071067811865482
1766145646,1.45,2.0,1.39,1.99,0.060827625302982254
1766145646,1.45,2.0,1.39,1.99,0.060827625302982254
1766145646,1.45,2.0,1.39,1.98,0.06324555320336764
1766145646,1.45,2.0,1.4,1.99,0.050990195135927896
1766145646,1.45,2.0,1.4,2.0,0.050000000000000044
1766145646,1.45,2.0,1.41,2.0,0.040000000000000036
1766145646,1.45,2.0,1.41,2.0,0.040000000000000036
1766145646,1.45,2.0,1.4,2.0,0.050000000000000044
1766145647,1.45,2.0,1.4,2.0,0.050000000000000044
1766145647,1.45,2.0,1.39,1.99,0.060827625302982254
1766145647,1.45,2.0,1.39,2.0,0.06000000000000005
1766145647,1.45,2.0,1.4,2.0,0.050000000000000044
1766145647,1.45,2.0,1.39,2.01,0.06082762530298222
1766145647,1.45,2.0,1.39,2.0,0.06000000000000005
1766145647,1.45,2.0,1.39,1.99,0.060827625302982254
1766145647,1.45,2.0,1.39,1.98,0.06324555320336764
1766145647,1.45,2.0,1.39,1.98,0.06324555320336764
1766145647,1.45,2.0,1.38,1.98,0.07280109889280525
1766145648,1.45,2.0,1.38,1.98,0.07280109889280525
1766145648,1.45,2.0,1.38,1.99,0.07071067811865482
1766145648,1.45,2.0,1.38,1.99,0.07071067811865482
1766145648,1.45,2.0,1.39,1.99,0.060827625302982254
1766145648,1.45,2.0,1.38,2.0,0.07000000000000006
1766145648,1.45,2.0,1.39,1.98,0.06324555320336764
1766145648,1.45,2.0,1.39,1.98,0.06324555320336764
1766145648,1.45,2.0,1.39,1.99,0.060827625302982254
1766145648,1.45,2.0,1.39,1.99,0.060827625302982254
1766145648,1.45,2.0,1.39,1.99,0.060827625302982254
1766145649,1.45,2.0,1.39,2.0,0.06000000000000005
1766145649,1.45,2.0,1.39,1.99,0.060827625302982254
1766145649,1.45,2.0,1.4,2.0,0.050000000000000044
1766145649,1.45,2.0,1.4,2.0,0.050000000000000044
1766145649,1.45,2.0,1.4,2.0,0.050000000000000044
1766145649,1.45,2.0,1.39,2.0,0.06000000000000005
1766145649,1.45,2.0,1.39,1.99,0.060827625302982254
1766145649,1.45,2.0,1.39,1.99,0.060827625302982254
1766145649,1.45,2.0,1.39,1.99,0.060827625302982254
1766145649,1.45,2.0,1.4,1.99,0.050990195135927896
1766145650,1.45,2.0,1.39,1.99,0.060827625302982254
1766145650,1.45,2.0,1.39,1.99,0.060827625302982254
1766145650,1.45,2.0,1.4,1.99,0.050990195135927896
1766145650,1.45,2.0,1.39,2.0,0.06000000000000005
1766145650,1.45,2.0,1.39,1.98,0.06324555320336764
1766145650,1.45,2.0,1.39,1.97,0.06708203932499375
1766145650,1.45,2.0,1.38,1.98,0.07280109889280525
1766145650,1.45,2.0,1.38,1.98,0.07280109889280525
1766145650,1.45,2.0,1.39,1.98,0.06324555320336764
1766145650,1.45,2.0,1.39,1.98,0.06324555320336764
1766145651,1.45,2.0,1.39,1.98,0.06324555320336764
1766145651,1.45,2.0,1.39,1.98,0.06324555320336764
1766145651,1.45,2.0,1.39,1.98,0.06324555320336764
1766145651,1.45,2.0,1.39,1.99,0.060827625302982254
1766145651,1.45,2.0,1.39,1.98,0.06324555320336764
1766145651,1.45,2.0,1.39,1.98,0.06324555320336764
1766145651,1.45,2.0,1.38,1.99,0.07071067811865482
1766145651,1.45,2.0,1.38,2.01,0.07071067811865478
1766145651,1.45,2.0,1.39,2.0,0.06000000000000005
1766145651,1.45,2.0,1.39,2.01,0.06082762530298222
1766145652,1.45,2.0,1.39,2.01,0.06082762530298222
1766145652,1.45,2.0,1.38,2.02,0.07280109889280525
1766145652,1.45,2.0,1.39,2.02,0.06324555320336764
1766145652,1.45,2.0,1.39,2.01,0.06082762530298222
1766145652,1.45,2.0,1.37,1.99,0.08062257748298535
1766145652,1.45,2.0,1.38,1.99,0.07071067811865482
1766145652,1.45,2.0,1.39,1.99,0.060827625302982254
1766145652,1.45,2.0,1.39,1.99,0.060827625302982254
1766145652,1.45,2.0,1.37,1.99,0.08062257748298535
1766145652,1.45,2.0,1.38,1.99,0.07071067811865482
1766145653,1.45,2.0,1.36,1.96,0.09848857801796093
1766145653,1.45,2.0,1.37,1.97,0.08544003745317517
1766145653,1.45,2.0,1.39,1.98,0.06324555320336764
1766145653,1.45,2.0,1.4,1.97,0.05830951894845306
1766145653,1.45,2.0,1.39,1.97,0.06708203932499375
1766145653,1.45,2.0,1.4,1.98,0.053851648071345085
