
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.28', 'CD37[0.00,0.00,0.00]=0.32', 'le_us=5249', 'est[0.25,0.42,0.14,51]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.25', 'CD37[0.00,0.00,0.00]=0.36', 'le_us=5371', 'est[0.25,0.43,0.15,44]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.33', 'CD37[0.00,0.00,0.00]=0.39', 'le_us=5188', 'est[0.25,0.47,0.15,62]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.33', 'CD37[0.00,0.00,0.00]=0.00', 'le_us=5859', 'est[0.25,0.41,0.16,56]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.25', 'CD37[0.00,0.00,0.00]=0.20', 'le_us=5218', 'est[0.25,0.41,0.15,52]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.30', 'CD37[0.00,0.00,0.00]=0.23', 'le_us=5249', 'est[0.25,0.42,0.15,40]']"
"['5B01[0.50,0.50,0.00]=0.18', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.30', 'CD37[0.00,0.00,0.00]=0.30', 'le_us=4913', 'est[0.25,0.44,0.08,54]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.22', 'CD37[0.00,0.00,0.00]=0.22', 'le_us=5096', 'est[0.25,0.44,0.02,46]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.21', '592F[0.50,0.00,0.00]=0.21', 'le_us=4974', 'est[0.25,0.44,-0.02,50]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.28', '592F[0.50,0.00,0.00]=0.32', 'le_us=5249', 'est[0.25,0.45,-0.06,51]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.27', '592F[0.50,0.00,0.00]=0.28', 'le_us=5065', 'est[0.25,0.46,-0.01,47]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.00', '592F[0.50,0.00,0.00]=0.31', 'le_us=6103', 'est[0.25,0.41,-0.05,56]']"
